observation_date,MDSP
1987-01-01,5.727013
1987-04-01,5.851268
1987-07-01,5.816926
1987-10-01,5.755412
1988-01-01,5.746887
1988-04-01,5.773431
1988-07-01,5.795170
1988-10-01,5.729602
1989-01-01,5.760173
1989-04-01,5.867787
1989-07-01,5.957596
1989-10-01,5.989871
1990-01-01,6.019675
1990-04-01,6.063661
1990-07-01,6.102623
1990-10-01,6.182270
1991-01-01,6.216675
1991-04-01,6.188352
1991-07-01,6.175433
1991-10-01,6.097033
1992-01-01,5.990278
1992-04-01,5.911459
1992-07-01,5.844377
1992-10-01,5.802369
1993-01-01,5.773480
1993-04-01,5.712197
1993-07-01,5.707024
1993-10-01,5.619833
1994-01-01,5.563705
1994-04-01,5.535898
1994-07-01,5.558447
1994-10-01,5.587129
1995-01-01,5.648761
1995-04-01,5.694785
1995-07-01,5.671951
1995-10-01,5.639323
1996-01-01,5.600129
1996-04-01,5.606269
1996-07-01,5.615988
1996-10-01,5.608981
1997-01-01,5.619890
1997-04-01,5.643776
1997-07-01,5.637490
1997-10-01,5.600171
1998-01-01,5.531760
1998-04-01,5.508772
1998-07-01,5.480971
1998-10-01,5.472906
1999-01-01,5.486907
1999-04-01,5.545157
1999-07-01,5.591622
1999-10-01,5.613610
2000-01-01,5.603787
2000-04-01,5.649237
2000-07-01,5.681759
2000-10-01,5.726554
2001-01-01,5.720924
2001-04-01,5.791297
2001-07-01,5.766344
2001-10-01,5.938890
2002-01-01,5.818683
2002-04-01,5.782798
2002-07-01,5.816934
2002-10-01,5.841991
2003-01-01,5.876676
2003-04-01,5.853615
2003-07-01,5.785099
2003-10-01,5.843954
2004-01-01,5.850716
2004-04-01,5.850062
2004-07-01,5.942921
2004-10-01,6.018770
2005-01-01,7.495970
2005-04-01,7.589280
2005-07-01,7.881696
2005-10-01,7.721674
2006-01-01,7.898613
2006-04-01,8.107804
2006-07-01,8.338563
2006-10-01,8.457133
2007-01-01,8.548444
2007-04-01,8.715677
2007-07-01,8.852972
2007-10-01,8.951798
2008-01-01,8.911721
2008-04-01,8.623828
2008-07-01,8.757906
2008-10-01,8.825364
2009-01-01,8.736148
2009-04-01,8.546917
2009-07-01,8.406611
2009-10-01,8.298902
2010-01-01,8.139607
2010-04-01,7.930774
2010-07-01,7.848625
2010-10-01,7.567982
2011-01-01,7.500138
2011-04-01,7.377539
2011-07-01,7.205684
2011-10-01,7.055088
2012-01-01,6.805059
2012-04-01,6.680276
2012-07-01,6.621394
2012-10-01,6.405273
2013-01-01,6.520457
2013-04-01,6.405988
2013-07-01,6.371945
2013-10-01,6.403982
2014-01-01,6.382673
2014-04-01,6.222359
2014-07-01,6.230359
2014-10-01,6.146280
2015-01-01,6.116055
2015-04-01,6.022983
2015-07-01,6.053680
2015-10-01,6.026867
2016-01-01,6.090748
2016-04-01,6.067528
2016-07-01,5.991104
2016-10-01,5.985307
2017-01-01,5.979369
2017-04-01,5.969329
2017-07-01,5.977025
2017-10-01,5.942936
2018-01-01,5.924021
2018-04-01,5.884257
2018-07-01,5.913372
2018-10-01,5.915357
2019-01-01,5.841685
2019-04-01,5.933358
2019-07-01,5.897151
2019-10-01,5.918276
2020-01-01,5.914246
2020-04-01,5.028147
2020-07-01,5.221495
2020-10-01,5.407841
2021-01-01,4.779057
2021-04-01,5.224558
2021-07-01,5.318745
2021-10-01,5.457454
2022-01-01,5.650133
2022-04-01,5.711503
2022-07-01,5.595140
2022-10-01,5.646393
2023-01-01,5.616176
2023-04-01,5.591763
2023-07-01,5.678232
2023-10-01,5.704593
2024-01-01,5.714631
2024-04-01,5.773469
