DATE,Personal Income
1/1/87,6494.2
2/1/87,6525
3/1/87,6530.5
4/1/87,6282.3
5/1/87,6537
6/1/87,6527.6
7/1/87,6545.8
8/1/87,6574
9/1/87,6575.3
10/1/87,6619.6
11/1/87,6648.1
12/1/87,6711.5
1/1/88,6730.2
2/1/88,6773.5
3/1/88,6804.3
4/1/88,6830.1
5/1/88,6841.7
6/1/88,6868.5
7/1/88,6898.2
8/1/88,6918.4
9/1/88,6932.4
10/1/88,6969.9
11/1/88,6971.9
12/1/88,7005.2
1/1/89,7033.4
2/1/89,7052.7
3/1/89,7087.1
4/1/89,7050
5/1/89,7017.2
6/1/89,7036.7
7/1/89,7061.3
8/1/89,7080
9/1/89,7101.4
10/1/89,7136.8
11/1/89,7144
12/1/89,7144.7
1/1/90,7187.4
2/1/90,7203.3
3/1/90,7206.1
4/1/90,7253.4
5/1/90,7245.8
6/1/90,7257.3
7/1/90,7283.7
8/1/90,7239.1
9/1/90,7236.8
10/1/90,7178.7
11/1/90,7181.9
12/1/90,7224.7
1/1/91,7205.7
2/1/91,7216.8
3/1/91,7229.1
4/1/91,7258
5/1/91,7259.5
6/1/91,7296.7
7/1/91,7282
8/1/91,7298.3
9/1/91,7317.7
10/1/91,7328
11/1/91,7338.4
12/1/91,7403.6
1/1/92,7474.8
2/1/92,7507.2
3/1/92,7513.8
4/1/92,7535
5/1/92,7570.2
6/1/92,7601.6
7/1/92,7595.9
8/1/92,7622.6
9/1/92,7586.9
10/1/92,7537.9
11/1/92,7549.3
12/1/92,7818.6
1/1/93,7648.1
2/1/93,7684.5
3/1/93,7660.8
4/1/93,7700.6
5/1/93,7689.4
6/1/93,7675.1
7/1/93,7694.3
8/1/93,7705.4
9/1/93,7684.4
10/1/93,7646.9
11/1/93,7668.1
12/1/93,7929.4
1/1/94,7780.4
2/1/94,7795
3/1/94,7820.5
4/1/94,7820.4
5/1/94,7910.6
6/1/94,7898.1
7/1/94,7905
8/1/94,7914.4
9/1/94,7949
10/1/94,8024.4
11/1/94,8023.9
12/1/94,8060.2
1/1/95,8086
2/1/95,8102
3/1/95,8124.2
4/1/95,8064
5/1/95,8145.6
6/1/95,8169.8
7/1/95,8187.8
8/1/95,8193
9/1/95,8219.4
10/1/95,8228.4
11/1/95,8250.5
12/1/95,8261.3
1/1/96,8272.1
2/1/96,8335.8
3/1/96,8362.4
4/1/96,8311.8
5/1/96,8416.8
6/1/96,8467.1
7/1/96,8444
8/1/96,8464.7
9/1/96,8483.9
10/1/96,8482.7
11/1/96,8505.1
12/1/96,8533.1
1/1/97,8556.4
2/1/97,8579.2
3/1/97,8619
4/1/97,8624.5
5/1/97,8661.9
6/1/97,8689.7
7/1/97,8723.1
8/1/97,8768.6
9/1/97,8791.5
10/1/97,8834.8
11/1/97,8892.2
12/1/97,8944.3
1/1/98,9022.9
2/1/98,9081.2
3/1/98,9134.4
4/1/98,9164.1
5/1/98,9202
6/1/98,9254.2
7/1/98,9270
8/1/98,9299.3
9/1/98,9325.5
10/1/98,9337.5
11/1/98,9374.6
12/1/98,9391.7
1/1/99,9444.1
2/1/99,9476.2
3/1/99,9484.1
4/1/99,9453
5/1/99,9469.3
6/1/99,9501.3
7/1/99,9519
8/1/99,9559.1
9/1/99,9546.7
10/1/99,9598.7
11/1/99,9660.9
12/1/99,9735.9
1/1/00,9799.9
2/1/00,9837.9
3/1/00,9864
4/1/00,9913.7
5/1/00,9954.5
6/1/00,9982.3
7/1/00,10035.9
8/1/00,10098.3
9/1/00,10110.3
10/1/00,10139.2
11/1/00,10143.5
12/1/00,10164.3
1/1/01,10211.7
2/1/01,10223.4
3/1/01,10254.4
4/1/01,10233.1
5/1/01,10214.7
6/1/01,10218.1
7/1/01,10370.7
8/1/01,10543.1
9/1/01,10452.8
10/1/01,10267.7
11/1/01,10279.7
12/1/01,10298.9
1/1/02,10514.7
2/1/02,10531.6
3/1/02,10539
4/1/02,10574.2
5/1/02,10616.5
6/1/02,10648.2
7/1/02,10621
8/1/02,10623
9/1/02,10633.6
10/1/02,10661.8
11/1/02,10690.9
12/1/02,10719.9
1/1/03,10710.4
2/1/03,10674
3/1/03,10696.5
4/1/03,10752.7
5/1/03,10832
6/1/03,10860.6
7/1/03,10991.1
8/1/03,11066.7
9/1/03,10940.8
10/1/03,10982.3
11/1/03,11048.4
12/1/03,11057.2
1/1/04,11051.2
2/1/04,11071
3/1/04,11115.6
4/1/04,11153.3
5/1/04,11208.9
6/1/04,11215.8
7/1/04,11240.5
8/1/04,11274.6
9/1/04,11279.6
10/1/04,11282.5
11/1/04,11246.1
12/1/04,11659
1/1/05,11226.5
2/1/05,11229
3/1/05,11268.8
4/1/05,11304.2
5/1/05,11352.7
6/1/05,11375.5
7/1/05,11387.1
8/1/05,11405.3
9/1/05,11365.2
10/1/05,11428.7
11/1/05,11500.1
12/1/05,11535.2
1/1/06,11651.8
2/1/06,11702.8
3/1/06,11747.5
4/1/06,11744.4
5/1/06,11736.8
6/1/06,11751.9
7/1/06,11746.9
8/1/06,11737
9/1/06,11800.1
10/1/06,11853.7
11/1/06,11901.9
12/1/06,11958.6
1/1/07,11956.6
2/1/07,11996
3/1/07,12035.1
4/1/07,12052.8
5/1/07,12059.9
6/1/07,12053.3
7/1/07,12066.4
8/1/07,12070.9
9/1/07,12089.6
10/1/07,12080.4
11/1/07,12070.1
12/1/07,12120.5
1/1/08,12137.1
2/1/08,12141.8
3/1/08,12145.9
4/1/08,12100.8
5/1/08,12696.2
6/1/08,12376.6
7/1/08,12188.7
8/1/08,12120.6
9/1/08,12149
10/1/08,12240.5
11/1/08,12345.9
12/1/08,12288.8
1/1/09,12361.5
2/1/09,12241.9
3/1/09,12242.7
4/1/09,12320
5/1/09,12500.1
6/1/09,12273.2
7/1/09,12218.7
8/1/09,12194.8
9/1/09,12230.6
10/1/09,12193.2
11/1/09,12224.4
12/1/09,12280.2
1/1/10,12285.8
2/1/10,12292
3/1/10,12340.3
4/1/10,12447.1
5/1/10,12540.3
6/1/10,12544.3
7/1/10,12554.2
8/1/10,12591.4
9/1/10,12589.9
10/1/10,12592.5
11/1/10,12605.1
12/1/10,12680.6
1/1/11,12740.1
2/1/11,12776.6
3/1/11,12742.7
4/1/11,12721.3
5/1/11,12705.3
6/1/11,12756.9
7/1/11,12805.6
8/1/11,12799.7
9/1/11,12781.7
10/1/11,12791.9
11/1/11,12782.7
12/1/11,12898.5
1/1/12,12967.5
2/1/12,13029.6
3/1/12,13066.4
4/1/12,13116.5
5/1/12,13112.5
6/1/12,13097.2
7/1/12,12999.8
8/1/12,12961.6
9/1/12,13053.1
10/1/12,13142
11/1/12,13315.7
12/1/12,13642.7
1/1/13,12845.5
2/1/13,12813.9
3/1/13,12852.1
4/1/13,12893.4
5/1/13,12954.2
6/1/13,12955.7
7/1/13,12941.8
8/1/13,12969.6
9/1/13,13027.5
10/1/13,12974.6
11/1/13,12998.9
12/1/13,13019.1
1/1/14,13079.5
2/1/14,13148
3/1/14,13219.9
4/1/14,13270.2
5/1/14,13312.9
6/1/14,13360.4
7/1/14,13386.8
8/1/14,13445.9
9/1/14,13486.3
10/1/14,13550.7
11/1/14,13624.4
12/1/14,13719.1
1/1/15,13797.7
2/1/15,13848
3/1/15,13811.3
4/1/15,13842
5/1/15,13865.6
6/1/15,13874.1
7/1/15,13905.7
8/1/15,13935.8
9/1/15,13972.2
10/1/15,13996.9
11/1/15,13993.4
12/1/15,14060.2
1/1/16,14121.1
2/1/16,14135.3
3/1/16,14135.4
4/1/16,14106.2
5/1/16,14095.5
6/1/16,14104.9
7/1/16,14160.1
8/1/16,14176.7
9/1/16,14209.1
10/1/16,14235.4
11/1/16,14273.6
12/1/16,14313.7
1/1/17,14373.7
2/1/17,14416.8
3/1/17,14476.3
4/1/17,14509.3
5/1/17,14610.7
6/1/17,14618.7
7/1/17,14660.2
8/1/17,14678.3
9/1/17,14706
10/1/17,14748.6
11/1/17,14771.1
12/1/17,14797.9
1/1/18,14886.6
2/1/18,14921.1
3/1/18,14974.8
4/1/18,15007.2
5/1/18,15057.8
6/1/18,15119.3
7/1/18,15184.7
8/1/18,15238.6
9/1/18,15237.5
10/1/18,15274.1
11/1/18,15315.2
12/1/18,15506.5
1/1/19,15501.7
2/1/19,15553.7
3/1/19,15568.9
4/1/19,15524.4
5/1/19,15519.6
6/1/19,15546.4
7/1/19,15565.7
8/1/19,15654.1
9/1/19,15691.3
10/1/19,15718.1
11/1/19,15778.2
12/1/19,15684.8
1/1/20,15852.5
2/1/20,15918
3/1/20,15696.3
4/1/20,18020.2
5/1/20,17104.6
6/1/20,17035
7/1/20,17193.2
8/1/20,16525.8
9/1/20,16607.9
10/1/20,16561.9
11/1/20,16368.1
12/1/20,16406.1
1/1/21,18107.3
2/1/21,16604.9
3/1/21,20422.6
4/1/21,17316.6
5/1/21,16819.1
6/1/21,16736.3
7/1/21,16836.1
8/1/21,16791.7
9/1/21,16564.3
10/1/21,16547.4
11/1/21,16499.8
12/1/21,16418.5
1/1/22,16080.8
2/1/22,16092.7
3/1/22,16028.1
4/1/22,16042.6
5/1/22,16023.2
6/1/22,15963.4
7/1/22,16109.3
8/1/22,16161.4
9/1/22,16184.9
10/1/22,16223.5
11/1/22,16229.6
12/1/22,16265.1
1/1/23,16601.9
2/1/23,16656.1
3/1/23,16730.2
4/1/23,16763.9
5/1/23,16818.5
6/1/23,16809.5
7/1/23,16816.4
8/1/23,16826.2
9/1/23,16816.3
10/1/23,16819.9
11/1/23,16859.6
12/1/23,16889.2
1/1/24,16914.2
2/1/24,16897.4
3/1/24,16924.3
4/1/24,16914.2
